                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7208,                 3.9754,                 1.4869,                0.00239,                0.67188,                0.07389,                0.03843,                      0,                    inf,                      0,                 0.0883,                 0.0013,                 0.0013
                      1,                  1.414,                 3.1499,                 1.2778,                0.00294,                0.82812,                0.30828,                0.18398,                      0,                    inf,                      0,               0.075687,              0.0026866,              0.0026866
                      2,                 1.4267,                 2.1389,                 1.2768,                  0.399,                0.37347,                0.32254,                0.19808,                      0,                    inf,                      0,               0.063059,              0.0040594,              0.0040594
                      3,                 1.4471,                 1.7839,                 1.1843,                0.53483,                0.46875,                0.43425,                0.24859,                      0,                    inf,                      0,               0.050418,              0.0054183,              0.0054183
                      4,                 1.4716,                 1.6766,                 1.2018,                      1,                0.08398,                0.30921,                0.16071,                      0,                    inf,                      0,               0.037763,              0.0067634,              0.0067634
                      5,                  1.621,                 1.7459,                 1.2421,                0.64447,                0.26562,                0.28462,                0.12528,                      0,                    inf,                      0,               0.025095,              0.0080946,              0.0080946
                      6,                 1.4476,                 1.5592,                 1.2065,                0.68605,                 0.5625,                0.55686,                0.28977,                      0,                    inf,                      0,               0.012412,              0.0094119,              0.0094119
                      7,                 1.5889,                 1.5747,                 1.2513,                0.63412,                0.45312,                0.47732,                0.24973,                      0,                    inf,                      0,              0.0096535,              0.0096535,              0.0096535
                      8,                 1.5404,                  1.602,                 1.2426,                0.67736,                0.42652,                0.46828,                0.23908,                      0,                    inf,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.5079,                 1.5426,                 1.2952,                0.54442,                 0.5625,                0.50266,                0.27906,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                     10,                 1.3726,                    inf,                 1.1632,                0.62058,                0.48438,                0.49557,                0.27253,                      0,                    inf,                      0,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.4728,                  1.432,                 1.2264,                0.70737,                0.56661,                0.59309,                0.29723,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                     12,                 1.5183,                 1.3682,                 1.2349,                 0.6943,                0.73438,                 0.7327,                  0.335,                      0,                    inf,                      0,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.4808,                 1.4157,                 1.2766,                0.67794,                0.59375,                0.64116,                0.30479,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                     14,                 1.4744,                 1.2936,                 1.2074,                0.57288,                0.59375,                0.61518,                0.31489,                      0,                    inf,                      0,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.4693,                 1.3241,                 1.2251,                0.63501,                0.73398,                0.69075,                0.34347,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                     16,                 1.4153,                 1.3248,                 1.1678,                0.63418,                0.76562,                0.67214,                0.32529,                      0,                    inf,                      0,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.4897,                 1.2726,                  1.255,                0.65979,                0.73438,                  0.771,                0.39617,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     18,                 1.4481,                 1.2485,                  1.241,                0.60725,                0.70062,                0.62803,                0.30573,                      0,                    inf,                      0,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.5656,                  1.295,                 1.2801,                0.76272,                0.73438,                0.78694,                0.42215,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     20,                 1.3823,                 1.1864,                 1.1936,                0.65586,                0.76562,                0.77577,                0.40687,                      0,                    inf,                      0,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.4988,                 1.2091,                 1.2235,                0.67136,                0.64062,                0.66706,                0.36566,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     22,                 1.2785,                    inf,                 1.1148,                 0.6546,                0.67188,                0.62249,                0.32072,                      0,                    inf,                      0,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.3736,                 1.1798,                 1.1615,                0.88551,                0.76562,                0.79812,                0.41282,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     24,                 1.4465,                 1.0697,                 1.1827,                0.69289,                0.71875,                0.74565,                0.38449,                      0,                    inf,                      0,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.3343,                 1.0301,                 1.1608,                0.66008,                0.67188,                0.70403,                0.32148,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     26,                 1.3816,                 1.0811,                 1.1777,                0.62377,                0.64768,                0.61159,                0.29644,                      0,                    inf,                      0,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.3518,                 1.0281,                   1.17,                0.66282,                  0.625,                0.62641,                0.29848,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     28,                 1.4203,                 1.0352,                 1.1637,                0.74643,                0.73438,                0.76535,                 0.3976,                      0,                    inf,                      0,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.3205,                 1.0295,                 1.1651,                0.81268,                0.71875,                0.78402,                0.37213,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     30,                 1.4333,                 1.0159,                 1.1865,                0.69596,                0.71875,                0.75404,                0.31079,                      0,                    inf,                      0,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.3281,                 1.0172,                 1.1507,                0.73441,                   0.75,                0.76468,                 0.3961,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     32,                 1.3052,                0.94099,                 1.1572,                0.72658,                0.76562,                0.73532,                0.35894,                      0,                    inf,                      0,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.3438,                0.98151,                 1.1837,                0.77805,                0.78125,                0.79051,                0.40571,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     34,                 1.3114,                0.90787,                 1.1709,                0.78315,                0.73438,                0.75094,                0.40423,                      0,                    inf,                      0,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.3057,                 0.9496,                 1.1347,                0.73393,                0.73438,                0.76158,                0.38229,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     36,                 1.2171,                    inf,                 1.0512,                0.71242,                0.81285,                0.83233,                0.40819,                      0,                    inf,                      0,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.2879,                0.92038,                 1.1224,                 0.8507,                0.71231,                0.79314,                0.44584,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     38,                 1.3237,                0.92437,                 1.1556,                0.82687,                0.82092,                0.85485,                0.40654,                      0,                    inf,                      0,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.3092,                0.89973,                 1.1277,                0.82074,                0.79688,                0.83803,                0.40623,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     40,                 1.3167,                 0.8852,                 1.1049,                0.86051,                0.73438,                0.80192,                 0.4112,                      0,                    inf,                      0,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.2845,                0.89655,                 1.1225,                0.82097,                0.78825,                0.83068,                0.41171,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     42,                 1.2258,                0.87824,                 1.1254,                0.75331,                0.73438,                0.72585,                0.38676,                      0,                    inf,                      0,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.2368,                0.83993,                 1.1142,                0.69531,                0.71875,                0.72472,                0.35274,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     44,                 1.1866,                  0.813,                 1.0938,                0.86978,                0.65625,                0.72192,                0.37809,                      0,                    inf,                      0,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.1912,                0.84015,                 1.0951,                0.88233,                  0.703,                0.82586,                0.41003,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     46,                 1.1843,                0.83293,                 1.0785,                 0.8865,                0.73227,                0.79699,                0.40143,                      0,                    inf,                      0,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.2163,                0.82362,                 1.1065,                0.76794,                0.70312,                0.72355,                 0.3695,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     48,                 1.1609,                0.78944,                  1.077,                 0.8238,                0.73058,                0.78569,                0.39429,                      0,                    inf,                      0,              0.0076735,              0.0076735,              0.0076735
                     49,                  1.128,                0.78202,                 1.0551,                0.86588,                0.76562,                0.83065,                0.43208,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     50,                 1.1942,                0.80142,                 1.0685,                0.72787,                   0.75,                0.78774,                0.38818,                      0,                    inf,                      0,              0.0075745,              0.0075745,              0.0075745
                     51,                  1.205,                0.81213,                 1.0974,                0.79923,                0.80867,                  0.773,                0.40051,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     52,                  1.132,                0.79677,                 1.0728,                0.90409,                0.88379,                 0.8841,                0.42044,                      0,                    inf,                      0,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.1646,                0.79805,                 1.0925,                0.75472,                0.81739,                0.81174,                0.40653,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     54,                 1.1387,                0.76012,                 1.0748,                0.77454,                0.82812,                0.79233,                0.43397,                      0,                    inf,                      0,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.1658,                0.75801,                 1.0884,                0.81198,                0.76562,                0.78837,                0.42953,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     56,                 1.1702,                0.77845,                 1.0786,                0.77183,                0.82812,                0.84924,                0.45515,                      0,                    inf,                      0,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.1448,                0.71883,                 1.0595,                0.82871,                 0.8316,                0.85085,                 0.4603,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     58,                 1.0964,                0.75989,                 1.0453,                 0.8043,                 0.8125,                0.81285,                0.43125,                      0,                    inf,                      0,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.1868,                0.79233,                 1.0831,                0.80066,                0.79688,                0.80701,                0.41076,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     60,                 1.0817,                0.73371,                 1.0168,                0.76785,                 0.8125,                0.82004,                  0.401,                      0,                    inf,                      0,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.1188,                0.72293,                 1.0452,                 0.8417,                0.84375,                0.80963,                0.39857,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     62,                 1.1263,                0.73631,                 1.0806,                0.80558,                 0.8125,                0.80497,                 0.4035,                      0,                    inf,                      0,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.1073,                0.72293,                 1.0667,                0.86149,                0.70312,                 0.7709,                0.38957,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     64,                 1.0858,                0.72283,                 1.0362,                0.81898,                0.71875,                0.77788,                0.38712,                      0,                    inf,                      0,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.1441,                 0.7694,                 1.0916,                0.81451,                0.71875,                0.74375,                0.38741,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     66,                  1.147,                0.73951,                 1.0375,                0.81932,                0.77944,                0.76507,                0.40609,                      0,                    inf,                      0,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.0487,                 0.7056,                 1.0275,                0.81222,                0.81102,                 0.7502,                0.39945,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     68,                 1.0841,                0.72166,                 1.0505,                0.78481,                0.85482,                0.77228,                0.40593,                      0,                    inf,                      0,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.0516,                0.71101,                 1.0328,                0.76443,                0.82812,                 0.7485,                0.38252,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     70,                 1.0284,                0.67104,                  1.016,                 0.7224,                0.81323,                 0.7274,                0.37107,                      0,                    inf,                      0,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.0359,                0.66928,                 1.0192,                0.83521,                 0.8125,                0.82614,                0.41598,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     72,                 1.0373,                0.66797,                 1.0101,                0.88596,                0.76562,                0.85624,                0.43314,                      0,                    inf,                      0,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.0556,                0.66872,                 1.0143,                0.84926,                0.71875,                0.78265,                0.42394,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     74,                 1.0264,                0.64743,                0.99725,                0.87717,                0.71875,                0.79564,                0.41248,                      0,                    inf,                      0,              0.0063865,              0.0063865,              0.0063865
                     75,                0.97903,                0.65476,                 1.0295,                0.82415,                0.71875,                0.76783,                0.39829,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     76,                0.98918,                0.63715,                 1.0055,                0.81373,                0.84375,                0.85955,                 0.4163,                      0,                    inf,                      0,              0.0062875,              0.0062875,              0.0062875
                     77,                0.98778,                0.64012,                0.99784,                0.83128,                0.82812,                0.81324,                0.36554,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     78,                0.97363,                0.62247,                0.99767,                0.81783,                0.82812,                0.82403,                0.38122,                      0,                    inf,                      0,              0.0061885,              0.0061885,              0.0061885
                     79,                  1.051,                 0.6501,                 1.0183,                0.70844,                0.85938,                0.80478,                 0.3906,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     80,                 1.1155,                0.66059,                 1.0429,                0.77143,                0.79109,                0.81836,                0.41993,                      0,                    inf,                      0,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.0384,                0.63729,                 1.0067,                0.81843,                0.82812,                0.83767,                0.42344,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     82,                0.98075,                0.63732,                 1.0051,                0.87573,                0.77081,                0.81597,                0.44117,                      0,                    inf,                      0,              0.0059905,              0.0059905,              0.0059905
                     83,                0.98511,                0.63157,                0.98771,                0.78041,                0.85938,                0.79429,                0.38403,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     84,                0.97394,                0.64226,                0.99521,                0.81379,                0.82812,                0.84873,                0.39811,                      0,                    inf,                      0,              0.0058915,              0.0058915,              0.0058915
                     85,                0.97196,                0.63109,                0.99888,                0.82112,                0.79688,                0.79839,                0.40426,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     86,                0.94894,                0.61092,                0.97857,                0.82067,                0.85807,                0.81565,                0.41998,                      0,                    inf,                      0,              0.0057925,              0.0057925,              0.0057925
                     87,                0.91832,                0.59656,                0.96926,                0.78151,                0.83837,                0.77935,                0.40782,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     88,                  1.007,                0.62186,                 1.0134,                0.79968,                0.78125,                0.79433,                0.41236,                      0,                    inf,                      0,              0.0056935,              0.0056935,              0.0056935
                     89,                0.96556,                0.63317,                0.96512,                 0.7521,                0.82812,                0.77169,                0.37888,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     90,                0.90437,                 0.6164,                0.98266,                0.82778,                0.82615,                0.79319,                0.42262,                      0,                    inf,                      0,              0.0055945,              0.0055945,              0.0055945
                     91,                 0.9513,                0.61555,                0.97419,                 0.8397,                0.84375,                0.83892,                0.40892,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     92,                0.90381,                0.60351,                0.96796,                0.87023,                0.82812,                0.85856,                0.43669,                      0,                    inf,                      0,              0.0054955,              0.0054955,              0.0054955
                     93,                0.92935,                0.58417,                0.98391,                0.89283,                0.79688,                0.84212,                0.44846,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     94,                0.86666,                 0.5619,                0.94308,                0.85426,                0.82435,                0.85202,                0.43914,                      0,                    inf,                      0,              0.0053965,              0.0053965,              0.0053965
                     95,                0.90863,                0.59336,                0.96922,                0.79135,                0.84375,                0.82351,                 0.4288,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     96,                0.90946,                0.58434,                0.97428,                0.84753,                 0.7817,                0.84487,                0.44024,                      0,                    inf,                      0,              0.0052975,              0.0052975,              0.0052975
                     97,                 0.9053,                0.58176,                0.96009,                0.81884,                0.70628,                0.76266,                0.41475,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     98,                0.87732,                0.57096,                0.96278,                 0.8252,                0.73769,                0.77176,                0.41366,                      0,                    inf,                      0,              0.0051985,              0.0051985,              0.0051985
                     99,                0.88264,                0.56193,                0.94948,                0.78058,                0.77825,                0.80111,                0.43343,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                    100,                0.86584,                0.56044,                0.96176,                0.74139,                0.84375,                0.79913,                0.42229,                      0,                    inf,                      0,              0.0050995,              0.0050995,              0.0050995
                    101,                0.98259,                0.56114,                   1.01,                0.85212,                0.81036,                0.83117,                0.45399,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                    102,                 0.8502,                 0.5547,                0.96048,                0.84633,                 0.8125,                0.83698,                0.42944,                      0,                    inf,                      0,              0.0050005,              0.0050005,              0.0050005
                    103,                0.85587,                0.54807,                0.96926,                0.82727,                0.78125,                0.81276,                0.43274,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                    104,                 0.8148,                0.54381,                0.94415,                0.82872,                 0.8125,                0.86307,                0.45508,                      0,                    inf,                      0,              0.0049015,              0.0049015,              0.0049015
                    105,                0.85828,                0.54096,                0.95041,                0.83816,                0.80925,                0.83465,                 0.4476,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                    106,                0.82258,                0.54613,                0.95031,                0.83289,                0.82812,                0.82138,                0.44274,                      0,                    inf,                      0,              0.0048025,              0.0048025,              0.0048025
                    107,                0.86988,                0.55202,                0.96799,                0.87652,                 0.8125,                0.85788,                0.43211,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                    108,                0.84469,                0.54171,                0.94489,                0.83696,                 0.8125,                0.83339,                0.43957,                      0,                    inf,                      0,              0.0047035,              0.0047035,              0.0047035
                    109,                0.83186,                0.54259,                0.95735,                0.82824,                0.79688,                0.83753,                0.45322,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                    110,                0.78513,                0.51936,                0.93356,                0.77634,                0.86781,                0.86134,                0.44824,                      0,                    inf,                      0,              0.0046045,              0.0046045,              0.0046045
                    111,                0.83326,                0.53524,                 0.9427,                0.85806,                0.78125,                0.85888,                0.45159,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                    112,                 0.7996,                0.53327,                0.92362,                0.89216,                0.77567,                0.87756,                0.46115,                      0,                    inf,                      0,              0.0045055,              0.0045055,              0.0045055
                    113,                0.79363,                0.52844,                 0.9194,                0.78216,                0.85938,                0.84706,                0.42035,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                    114,                0.84209,                0.54776,                0.95459,                0.82807,                0.79688,                0.85203,                0.40878,                      0,                    inf,                      0,              0.0044065,              0.0044065,              0.0044065
                    115,                0.81771,                0.52486,                0.93864,                0.86371,                0.79688,                0.81161,                0.42308,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                    116,                 0.7337,                  0.536,                0.91803,                0.83595,                 0.8125,                0.82899,                0.40941,                      0,                    inf,                      0,              0.0043075,              0.0043075,              0.0043075
                    117,                0.75346,                0.49242,                0.91053,                0.79737,                 0.8125,                0.82486,                 0.4407,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                    118,                0.79109,                0.51808,                0.94816,                0.81926,                  0.875,                0.83873,                0.43276,                      0,                    inf,                      0,              0.0042085,              0.0042085,              0.0042085
                    119,                 0.7891,                0.51265,                0.92365,                0.85876,                0.85506,                 0.8494,                0.43512,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                    120,                0.79306,                0.50857,                0.91537,                0.83518,                 0.8125,                0.82936,                0.43931,                      0,                    inf,                      0,              0.0041095,              0.0041095,              0.0041095
                    121,                0.79687,                0.52065,                0.92418,                0.82031,                0.79688,                0.82712,                0.45102,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                    122,                0.75991,                0.54805,                0.92177,                0.87253,                0.76562,                0.83732,                0.46234,                      0,                    inf,                      0,              0.0040105,              0.0040105,              0.0040105
                    123,                0.76397,                0.49381,                0.90635,                0.87038,                0.83938,                0.89555,                0.51585,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                    124,                0.77033,                0.49354,                0.91168,                0.84781,                 0.8705,                0.89365,                0.50475,                      0,                    inf,                      0,              0.0039115,              0.0039115,              0.0039115
                    125,                0.77726,                0.50971,                0.92123,                 0.8718,                0.78125,                0.84995,                0.45647,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                    126,                0.80553,                0.50633,                0.92015,                0.89256,                0.77888,                0.84693,                0.44751,                      0,                    inf,                      0,              0.0038125,              0.0038125,              0.0038125
                    127,                0.77215,                 0.4979,                0.90477,                0.84313,                0.78125,                0.81733,                0.45001,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                    128,                0.76243,                0.52266,                0.92881,                0.89284,                 0.8125,                0.85223,                0.43626,                      0,                    inf,                      0,              0.0037135,              0.0037135,              0.0037135
                    129,                0.75184,                0.48552,                0.92683,                0.88116,                0.81104,                0.85543,                0.43936,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                    130,                0.71314,                0.47373,                0.90454,                0.88569,                0.85938,                0.88568,                0.44398,                      0,                    inf,                      0,              0.0036145,              0.0036145,              0.0036145
